Category,Product Name,MRP,Sale Price
CABINETS,Cooler Master Elite 690 Wood ARGB (White),N/A,₹5390
CABINETS,MSI MAG Forge 320R Airflow (Black),N/A,₹5490
CABINETS,Ant Esports Dynamic GT ARGB (Black),N/A,₹5490
CABINETS,Ant Esports Titan FE ARGB  4 ARGB Fans  ATX Mid Tower Cabinet (Black),N/A,₹5490
CABINETS,Ant Esports 611 Air ARGB (Black) Cabinet,N/A,₹5490
CABINETS,TAG Gamerz Aurora-Mesh  6 ARGB Fans  ATX Mid-Tower Cabinet (White),N/A,₹5890
CABINETS,Antec CX700 ARGB Cabinet (Black),N/A,₹5990
CABINETS,Ant Esports Crystal ARGB Cabinet (White),N/A,₹5990
CABINETS,MSI MAG Vampiric 300R  ATX Mid-Tower Cabinet (Midnight Green),N/A,₹5990
CABINETS,Custom PC Cabinet from ModxComputers,N/A,₹16000
CASE FANS,Galax Vortex Wind 01 120mm ARGB Case Fan (Single Pack) (Black),N/A,₹890
CASE FANS,Ant Esports Spectraflow ARGB (Triple Pack) (Black),N/A,₹2090
CASE FANS,Ant Esports Spectraflow ARGB (Triple Pack) (White),N/A,₹2290
CASE FANS,Ant Esports Quartzflow ARGB 120mm Reverse Stackable Case Fans (Triple Pack) (White),N/A,₹3090
CASE FANS,Ant Esports Quartzflow ARGB 120mm Reverse Stackable Case Fans (Triple Pack) (Black),N/A,₹3090
CASE FANS,Ant Esports Infinity Flow 120mm ARGB Cabinet Fan (Triple Pack) (Black),N/A,₹3190
CASE FANS,Antec Connect 120 ARGB 120mm (White) Case Fan,N/A,₹3390
CASE FANS,Antec Connect 120 Reverse ARGB 120mm White (Triple Pack) Case Fans,N/A,₹3490
CASE FANS,Lian Li UNI Fan CL Wireless 120 Reverse Blade (Triple Pack) (Black),N/A,₹5290
CASE FANS,NZXT F120 RGB Core 120mm Cabinet Fans (Triple Pack) (White) Case Fans,N/A,₹6390
CASE FANS,Lian Li UNI Fan SL Wireless 120 ARGB (Triple Pack) (White),N/A,₹8990
CASE FANS,Case Fans at ModxComputers,N/A,₹12000
CUSTOM CABLES,Lian Li Strimer Wireless (12+4) 16 Pin (12 Light Guide) GPU ARGB Extension Cable,N/A,₹7990
CUSTOM CABLES,Lian Li Strimer Wireless 24 Pin Motherboard ARGB Extension Cable,N/A,₹9990
CUSTOM CABLES,Custom Cables at ModxComputers,N/A,₹1190
MONITOR,MSI PRO MP223 E2 | 22 Inch 1080p FHD 100Hz,N/A,₹5590
MONITOR,MSI PRO MP225 | 22 Inch 1080p FHD 100Hz IPS Monitor,N/A,₹5790
MONITOR,MSI PRO MP2412 | 24 Inch 1080p FHD 100Hz Monitor,N/A,₹6490
MONITOR,ViewSonic VA2432-H | 24 Inch 1080p FHD 100Hz IPS Monitor,N/A,₹6990
MONITOR,MSI PRO MP253 | 25 Inch 1080p FHD 100Hz IPS Monitor,N/A,₹7490
MONITOR,MSI PRO MP251L E2 | 25 Inch 1080p FHD 120Hz IPS Monitor,N/A,₹7490
MONITOR,MSI PRO MP251 E14L | 25 Inch 1080p FHD 144Hz IPS Monitor,N/A,₹7490
MONITOR,MSI MAG 255F E20 | 25 Inch 1080p FHD 200Hz Rapid IPS 0.5ms Monitor,N/A,₹9290
MONITOR,MSI MAG 245F X24 | 24 Inch 1080p FHD 240Hz Rapid IPS 0.5ms Monitor,N/A,₹9490
MONITOR,MSI PRO MP275 | 27 Inch 1080p FHD 100Hz IPS Monitor,N/A,₹9490
MONITOR,MSI PRO MP273W E14A | 27 Inch 1080p FHD 144Hz IPS Monitor (White),N/A,₹9590
MONITOR,MSI PRO MP161 E2 | 15.6 Inch 1080p FHD 60Hz IPS Type-C Portable Monitor,N/A,₹9790
MONITOR,MSI PRO MP273 E14A | 27 Inch 1080p FHD 144Hz IPS Monitor,N/A,₹9790
MONITOR,ViewSonic VX2479A-HD-PRO | 24 Inch 1080p FHD 240Hz IPS Monitor,N/A,₹9990
MONITOR,Lenovo Legion 24-10 | 24 Inch 1080p FHD 240Hz IPS 0.5ms Monitor,N/A,₹10690
